iter	Passed	Remaining
871	1902	279
872	1905	277
873	1908	275
874	1910	272
875	1911	270
876	1913	268
877	1920	266
878	1924	264
879	1927	262
880	1929	260
881	1931	258
882	1936	256
883	1939	254
884	1940	252
885	1945	250
886	1952	248
887	1955	246
888	1957	244
889	1959	242
890	1962	240
891	1966	238
892	1970	236
893	1972	233
894	1974	231
895	1976	229
896	1982	227
897	1985	225
898	1987	223
899	1988	220
900	1990	218
901	1997	217
902	2001	214
903	2002	212
904	2004	210
905	2006	208
906	2010	206
907	2012	203
908	2014	201
909	2015	199
910	2017	197
911	2018	194
912	2020	192
913	2022	190
914	2025	188
915	2027	185
916	2029	183
917	2031	181
918	2032	179
919	2033	176
920	2036	174
921	2038	172
922	2040	170
923	2042	167
924	2044	165
925	2046	163
926	2050	161
927	2052	159
928	2054	157
929	2056	154
930	2058	152
931	2059	150
932	2061	148
933	2062	145
934	2065	143
935	2068	141
936	2070	139
937	2071	136
938	2072	134
939	2074	132
940	2075	130
941	2076	127
942	2078	125
943	2080	123
944	2082	121
945	2083	118
946	2085	116
947	2086	114
948	2088	112
949	2089	109
950	2091	107
951	2093	105
952	2096	103
953	2098	101
954	2101	99
955	2102	96
956	2103	94
957	2105	92
958	2106	90
959	2108	87
960	2112	85
961	2113	83
962	2115	81
963	2116	79
964	2117	76
965	2119	74
966	2120	72
967	2122	70
968	2123	67
969	2127	65
970	2128	63
971	2130	61
972	2131	59
973	2132	56
974	2134	54
975	2135	52
976	2137	50
977	2138	48
978	2140	45
979	2143	43
980	2144	41
981	2145	39
982	2147	37
983	2148	34
984	2150	32
985	2151	30
986	2152	28
987	2154	26
988	2156	23
989	2158	21
990	2159	19
991	2161	17
992	2162	15
993	2164	13
994	2165	10
995	2167	8
996	2168	6
997	2170	4
998	2173	2
999	2175	0
